n,epsilon,trials,mean_ratio,ci_low,ci_high,half_width_b,min_ratio,max_ratio,std_ratio,bound_lower
10,0.5,30.0,0.9834633296280142,0.9796554160770636,0.9872712431789648,0.003807913550950554,0.959022852639874,1.0,0.010197779779439984,0.6666666666666666
10,0.1,30.0,0.9975173517158208,0.9966971540053187,0.9983375494263229,0.0008201977105021388,0.9912402028584602,1.0,0.0021965298096680162,0.9090909090909091
10,0.01,30.0,0.9998767242933381,0.9998098849370313,0.9999435636496449,6.683935630678472e-05,0.9995655951346656,1.0,0.00017899908364410352,0.9900990099009901
10,0.001,30.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9990009990009991
15,0.5,30.0,0.9886262289971808,0.9864228672983701,0.9908295906959914,0.0022033616988106105,0.9781039461020212,1.0,0.005900711000467548,0.6666666666666666
15,0.1,30.0,0.9980057407508368,0.9974376633354336,0.99857381816624,0.0005680774154031621,0.9953445065176908,1.0,0.0015213392590041283,0.9090909090909091
15,0.01,30.0,0.999874805430611,0.9998235455534,0.999926065307822,5.1259877211035546e-05,0.999689633767846,1.0,0.00013727647235814636,0.9900990099009901
15,0.001,30.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9990009990009991
20,0.5,30.0,0.992964783867256,0.9910922016164805,0.9948373661180314,0.0018725822507754816,0.9838281438571084,1.0,0.005014867369436345,0.6666666666666666
20,0.1,30.0,0.9984051018353569,0.9979840115202229,0.998826192150491,0.0004210903151339949,0.9961132704053304,1.0,0.0011277005750089898,0.9090909090909091
20,0.01,30.0,0.9999274093360059,0.9998906851214306,0.9999641335505811,3.672421457527186e-05,0.9997586290127928,1.0,9.834925289153065e-05,0.9900990099009901
20,0.001,30.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9990009990009991
25,0.5,30.0,0.9933512472392878,0.9918236463593723,0.9948788481192034,0.0015276008799155465,0.9836376162590424,0.9993216659883326,0.004090990290567069,0.6666666666666666
25,0.1,30.0,0.998888938074596,0.9986200680922381,0.9991578080569539,0.0002688699823578281,0.9976072977418872,1.0,0.0007200470369666352,0.9090909090909091
25,0.01,30.0,0.9999106629224309,0.9998806111016117,0.9999407147432501,3.0051820819122416e-05,0.999810641923878,1.0,8.048025423478935e-05,0.9900990099009901
25,0.001,30.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9990009990009991
30,0.5,30.0,0.9953390061634116,0.9942106576743444,0.9964673546524789,0.0011283484890672612,0.9878127836120836,0.9997630612486672,0.003021772750880706,0.6666666666666666
30,0.1,30.0,0.9991952821070986,0.998991232321065,0.9993993318931322,0.0002040497860336418,0.9981586054505278,1.0,0.0005464553630671296,0.9090909090909091
30,0.01,30.0,0.9999305195815259,0.9999056716013649,0.9999553675616869,2.4847980160971786e-05,0.9998496466696736,1.0,6.65441130044116e-05,0.9900990099009901
30,0.001,30.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9990009990009991
